Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;Tibetan
restore_magna_graecia_desc;Back in antique times when the booming Greek population exceeded the capacity of its arable land, brave colonists set out across the Mediterranean in search of new places to call home. One of these was Magna Graecia or Meg�le Hell�s as it was called in Greek. The Colony was founded just across the Ionian Sea and had lots of desirable fertile lands which helped sustain all of Greece proper's agricultural needs for centuries. Seeing as there still is a substantial Greek presence in the region we shall set sail and reclaim the Breadbasket of Hellas!;x
graecian_farmlands_title;Breadbasket of Greece;x
graecian_farmlands_desc;Hellenic rule hath been restored over the ancient colony of Magna Graecia, famous for it's vast agricultural yields of which the remainder of Greece amply benefitted. Today the region isn't particularly renowned for it's agronomy as it was erstwhile. Through modern farming methods and equipment, the fertile Italian lands could be utilized to feed Greek mouths anew whilst attracting new settlers to toil the fields.;x
megali_monarchist_title;Megali Idea;x
megali_monarchist_desc;In the name of the King of the Hellenes, the lands of Asia Minor shall be restored under Greek rule! With this motion we shall also extend our claims north into the Balkans, where substantial Greek minorities inhabit. Time has come to avenge Manzikert and expel those who banished us from our homeland centuries ago! For Freedom or Death!;x
annex_haida_title;Annex Haida;x
annex_haida_desc;The weak Haida Confederacy up north finds itself in a vulnerable spot waiting for any European power to strike at its foundations. They would surely be better off under our protection.;x
gewesten_borderland_title;Claim the Zakatlani Borderland;x
gewesten_borderland_desc;The northern Zakatlani Borderland was one of particular interest for our people over the past decades. Claiming the area would provide access to yet untapped mineral deposits whilst accommodating the land needs of arriving immigrants.;x
ottoborg_capital_title;Continental Capital;x
ottoborg_capital_desc;Westerhof effectively served as the Ingemaric League's capital ever since the first Europeans arrived and settled here in North Colombia. Today this effectiveness finds itself diminished as the League expands further away from the eastern most point of the continent. The thriving city of Ottoborg with it's strategic and central location would serve the excellent capital whilst bolstering the path to unification.;x
ingemaric_unification_title;Centralize the League;x
ingemaric_unification_desc;Let us not repeat the mistakes of our European forefathers. For the League's continuity it is vital to bring all the Divisions together under the government in Ottoborg. The Ingemard Constitution is to be drafted, letting the Divisions retain a certain degree of local autonomy in a joint Confederation headed by Ottoborg. Only then will no one tear us apart!;x
AKI_START_LAKE_WAR_title;Start the Lake War;x
AKI_START_LAKE_WAR_desc;The areas around the Great Lakes have been disputed for ages between the Ingemards and Veldleuwer, consequently leading to further disputes over colonial lands beyond. One war is all we need to solve our disputes once and for all! Fur die Liga!;x
VEL_START_LAKE_WAR_title;Start the Lake War;x
VEL_START_LAKE_WAR_desc;The areas around the Great Lakes have been disputed for ages between the Veldleuwer and Ingemards, consequently leading to further disputes over colonial lands beyond. One war is all we need to solve our disputes once and for all! Voor de Republiek!;x
DEI_league_title;Indianer Rights;x
DEI_league_desc;Long gone are the times of discrimination based on race in our nation. It is time to give full rights to the Indianer (German and native half-breed) minority. Only then will the League reach it's full potential standing as the shining beacon of Colombia.;x
acadien_buckbreaking_title;Acadian Borderlands;x
acadien_buckbreaking_desc;Having defeated the Dutch enemy across the Great Lakes, it's in order for Ingemarland to settle the border dispute with Acadia. Envisioned by our greatest of intellectuals, a border reaching the Appalachian Mountain range boundary alongside the inclusion of German merchant towns on the coast would provide the perfect solution to our struggle.;x
integrate_gepidia_title;End the Danubian Banate;x
integrate_gepidia_desc;We have allowed the Danubian Banate in the south to garner too much autonomy. It is time to finally integrate them into Hungary proper!;x
banate_unification_title;Unite the Banates;;;;;;;;;;;;;x,,,,,,,,
banate_unification_desc;Long enough have the Hungarian Danubian Banates been seperated. In order to achieve better governance we will put forth a proposition to the Hungarian King to unite the Banates of Sewernburg and Matschau. It won't be hard convincing the King as this would be beneficial to both sides.;;;;;;;;;;;;;x,,,,,,,,
gepid_independence_title;Danubian Independence;;;;;;;;;;;;;x,,,,,,,,
gepid_independence_desc;Germany of the Balkans has finally been freed of it's chains. No longer do our former overlords have a valid claim on our nation!;;;;;;;;;;;;;x,,,,,,,,
gepid_south_title;Restore the South;;;;;;;;;;;;;x,,,,,,,,
gepid_south_desc;Centuries ago the Gepid Kingdom of old held control over some additional borderland to our current south. Now that we are independent we should aim to restore our southern frontier.;;;;;;;;;;;;;x,,,,,,,,
gepid_slavonia_title;Slavonian Borderland;;;;;;;;;;;;;x,,,,,,,,
gepid_slavonia_desc;The eastern part of Slavonia is inhabited by a substantial German minority for centuries but was never formally part of any Danubian Banate. We must incorporate our brethren into one united and strong Danubian nation!;;;;;;;;;;;;;x,,,,,,,,
gepid_transylvania_title;Liberate Siebenburgen;;;;;;;;;;;;;x,,,,,,,,
gepid_transylvania_desc;Transylvania, known as Siebenburgen to the Germans after the seven German cities located inside of it, is a region in the western Pannonian Basin in which many Germans settled since the 12th century. The Hungarian crown invited these Germans in order to colonize the land, develop agriculture and promote urbanisation but the lands never got organized as a proper German Banate. Thus it is our duty to protect the Germans of Siebenburgen just like the Teutons did back when they first settled the land.;;;;;;;;;;;;;x,,,,,,,,
gepid_east_hungary_title;The Great Plain;;;;;;;;;;;;;x,,,,,,,,
gepid_east_hungary_desc;The old Gepid Kingdom used to own all the land east of the Danube in the Pannonian Basin. Though no Germanic peoples settled in the region after the Gepid Kingdom's fall, we are now powerful enough to claim the entirety of the region for ourselves and make a land bridge to the rest of Germany.;;;;;;;;;;;;;x,,,,,,,,
##################### ANTARCTIQUE DECISIONS #################################;;;;;;;;;;;;;x,,,,,,,,
venture_south_title;Venture down south;;;;;;;;;;;;;x,,,,,,,,
venture_south_desc;Aquitania has proven itself to be a seafaring merchant nation in the past. Venturing southwards to secure additional coastline would only bring forth great benefits to our maritime trade.;;;;;;;;;;;;;x,,,,,,,,
andean_question_title;Andean Question;;;;;;;;;;;;;x,,,,,,,,
andean_question_desc;A question lays unanswered. The Question regarding the future of our western frontier. Soon it's fate shall be decided, but how exactly?;;;;;;;;;;;;;x,,,,,,,,
conquer_chaqu_title;Conquer Chaco;;;;;;;;;;;;;x,,,,,,,,
conquer_chaqu_desc;Nothing stands on our way as our enemies stand defeated in the west. Now with proper preparation in place we are able to launch a swift incursion into the northern Guarani lands and seize them for further settlement.;;;;;;;;;;;;;x,,,,,,,,
settle_wheat_valley_title;Settle the Wheat Valley;;;;;;;;;;;;;x,,,,,,,,
settle_wheat_valley_desc;The great plain on our southern border, the Wheat Valley is a large and sparsely populated region of South Colombia. As our population grows so does the need for settling lands, therefore it is time to establish rule over the Valley of Wheat.;;;;;;;;;;;;;x,,,,,,,,
claim_patagonia_title;Southern Expansion;;;;;;;;;;;;;x,,,,,,,,
claim_patagonia_desc;We are now deemed strong enough by the eyes of the World in order to validly stake a claim to the South Colombian Cone. Soon the region shall be ours!;;;;;;;;;;;;;x,,,,,,,,
claim_malvinas_title;Claim Malvinas;;;;;;;;;;;;;x,,,,,,,,
claim_malvinas_desc;$COUNTRY$ is left with one yet unresolved territorial issue. The Malvinas Islands positioned east of our southern coastline are a strategically important area of the Atlantic Ocean and a natural part of our nation. Whoever owns them shall rule the seas of the south but now our turn has come. With improvements in naval technology and expansion of the $COUNTRY_ADJ$ Navy we shall take what is rightfully ours!;;;;;;;;;;;;;x,,,,,,,,
oriental_hinterland_title;Hinterland Expedition;;;;;;;;;;;;;x,,,,,,,,
oriental_hinterland_desc;The $COUNTRY$ has resolved its border dispute with Mordredland by blood and now finds itself able to consolidate the previously disputed and unsettled inlands area in the north.;;;;;;;;;;;;;x,,,,,,,,
oriental_paraguai_title;Paraguai Expedition;;;;;;;;;;;;;x,,,,,,,,
oriental_paraguai_desc;The Kingdom has consolidated the northern hinterland but there still remains some colonial land of interest to our people. Settling the plain area across the Parana river would allow for much greater control of the important river and with enough settlers it can be done.;;;;;;;;;;;;;x,,,,,,,,
form_antarctique_OCD_title;Dreams of Antarctique;x
form_antarctique_OCD_desc;The 1817 convention in Carpentier saw the dissolution of Antarctique over the matters of religion and slavery. Decades have passed and our people still feel the annals of the past. Time has come to mend the wounds and realize the dream that was lost all those years ago. Pour Sainte! Vive l'Antarctique!;x
form_antarctique_FNC_title;Dreams of Antarctique;x
form_antarctique_FNC_desc;The 1817 convention in Carpentier saw the dissolution of Antarctique over the matters of religion and slavery. Decades have passed and our people still feel the annals of the past. Time has come to mend the wounds and realize the dream that was lost all those years ago. Pour Sainte! Vive l'Antarctique!;x
arc_capital_title;A Capital for all;x
arc_capital_desc;For the sake of better administration and national unity we need to change our capital. Sitting on the Atlantic coast just across the bay from Aquitania, Castel Colina, including its central location and historical symbolism would make for an ideal capital. Alongside that, a change of name to Saintespont in honor of our greatest revolutionary Josep Sainte would be in order.;x
accept_afro_french_title;Afro-French Rights Act;x
accept_afro_french_desc;The African community in our nation has greatly suffered throughout the centuries. With slavery abolished and the country heading into the future we ought to provide rights to the former slaves.;x
##################### JESUIT/ANDEAN DECISIONS #################################;;;;;;;;;;;;;x,,,,,,,,
subjugate_shuara_title;Subjugate Shuars;;;;;;;;;;;;;
subjugate_shuara_desc;In order to prepare the Great Andean Crusade we must first pacify the bordering Amazon tribes in order to secure the invasion route.;;;;;;;;;;;;;
andean_crusade_title;Declare the Andean Crusade;;;;;;;;;;;;;
andean_crusade_desc;It's our role to protect the Catholic minority in the Incan Empire from the Incans' Satanic mix of cults and beliefs.Deus Vult!;;;;;;;;;;;;;
levantine_crusade_title;The Last Crusade;;;;;;;;;;;;;
levantine_crusade_desc;The infidel Empire of the Incas was toppled by our bold crusaders. With it dies the last hope of any non-Christian polities of South Colombia. Now we must face a new enemy far greater than the Incas, across the big pond. Let us finish what our ancestors started and restore the Holy Land to it's rightful rulers!;;;;;;;;;;;;;
control_the_amazon_title;Control the Amazon;;;;;;;;;;;;;
control_the_amazon_desc;The Amazon Rainforest is filled with valuable tropical resources waiting to be claimed. Our only obstacle in taking over the region are the indigenous people that roam the rainforest.;;;;;;;;;;;;;
the_water_of_life_title;Jesuit Healthcare;;;;;;;;;;;;;
the_water_of_life_desc;One good thing the Jesuits have brought with them to the New World was their extensive knowledge of medical practices. With new technological advancements made in the field of medicine we can combine them with previous vast knowledge in order to give our healthcare a major upgrade.;;;;;;;;;;;;;
andine_schools_title;Mass Education Program;;;;;;;;;;;;;
andine_schools_desc;The corrupt ex-Jesuit government looked only for ways to exploit the native population using the pretense of spreading the Lord's message, so naturally educating the natives wasn't in their interest as it was unprofitable. Thus the native population is left highly uneducated and secluded from our society, therefore we shall reach out to them by expanding the extent of our education system. It won't be easy, but for the sake of unity and mending the wounds left over by the Jesuits it shall be done!;;;;;;;;;;;;;
capital_quito_title;Establish the Governorates;;;;;;;;;;;;;
capital_quito_desc;Our nation covers vast ground and can not be simply administered from the far northern Caracas which also serves as a constant reminder of ex-Jesuit rule. If the Andine Confederation was to stand as a truly united nation something must be done. Firstly, turning Quito, a city sitting on the crossroads of all our diverse peoples into the new beating heart of our nation would be ideal for partially solving our issue but that's not all. Secondly, governorates are to be established in the southern regions led by locally elected native governors. The Governorates would be granted high autonomy to better reflect on it's people's needs and to eliminate the need of depending on Quito for everything. With these reforms our Confederation shall become truly united!;;;;;;;;;;;;;
aquitania_n_confederation_title;Aquitania in the Confederation;;;;;;;;;;;;;
aquitania_n_confederation_desc;Much like us, the Huguenot people of the south descended from the Occitan Calvinist settlers speak one of the several Latin languages. What makes them more similar to us rather than their bordering French counterparts is their language being much more similar to ours rather than French but due to assimilation efforts their language in Europe is dying out. Therefore we shall do them well and integrate our Aquitanian brethren into the Confederation.;;;;;;;;;;;;;
annex_ngabe_title;Annex Ngabe;;;;;;;;;;;;;
annex_ngabe_desc;We have garnered enough control over the Ngabe tribes and are now able to undisputedly integrate them into our nation.;;;;;;;;;;;;;
SPA_Rename_Andes_title;Renaming the Andes;;;;;;;;;;;;;
SPA_Rename_Andes_desc;The vast territories of the Andes are rightfully ours and shall therefore be using Spanish toponyms;;;;;;;;;;;;;
